,latitude,longitude,weight
key,,,
0,37.7855,77.534083,1
1,37.6587365,77.40623,1
2,37.6127,77.3404,1
3,37.68549726,77.38391,1
4,37.5525,77.4039,1
5,37.5317,77.5409,1
6,37.5102,77.4831,1
7,37.5942,77.4462,1
8,37.5715,77.4863,1
9,37.41779,77.23209,1
10,37.23683224,77.59274,1
11,37.4809,77.3129,1
12,37.546,77.3278,1
13,37.6331,77.5169,1
14,37.6295,77.5484,1
15,37.403,77.3557,1
16,37.3657,77.33297,1
17,37.37116,77.36178,1
18,37.6662,77.5337,1
